Toilet_Partition_Tile,32,32,32,255
ToiletSign,32,32,32,255
Trashcan,154,38,91,255
Trashcan_Metal,154,38,91,255
Urinal,32,32,32,255
Urinal_Partition,32,32,32,255
W_1x,2,103,71,255
W_2x_glass_A,2,103,71,255
W_2x_glass_B,2,103,71,255
W_2x_glass_Door,2,103,71,255
W_2x_glass_DoorDouble,2,103,71,255
W_3x,2,103,71,255
W_3x_Elevator_Door,2,103,71,255
W_6x,2,103,71,255
W_6x_Door,2,103,71,255
W_6x_DoorDouble,2,103,71,255
W_6x_DoorWindow_Large,2,103,71,255
W_6x_Window_Large_B,2,103,71,255
W_6x_Window_MiniDouble,2,103,71,255
W_6x_Window_Small,2,103,71,255
W_ConnectSeam,2,103,71,255
W_Pilar_Large,2,103,71,255
W_Pilar_Small,2,103,71,255
Water_Dispenser,154,38,91,255
Water_DispenserMUG,154,38,91,255
WaterSprinkler,32,32,32,255
WaterSprinklerPipe_3x,32,32,32,255
WaterSprinklerPipe_CornerRight,32,32,32,255
WhiteBoard,246,188,6,255
WhiteBoard_Walll,246,188,6,255
WindowBlinds_A,32,32,32,255
WindowBlinds_B,32,32,32,255
WindowBlinds_Closed,32,32,32,255
WindowBlinds_D,32,32,32,255
Graphics,124,29,67,255
